,authorID,domain,pubID,venueID,numAuthor,venue,year,type,university
45,noah-a-smith,cmu.edu,W11-1515,W11-15,3,WS,2011,workshop,Carnegie Mellon University
45,noah-a-smith,cmu.edu,W11-2139,W11-21,4,WS,2011,workshop,Carnegie Mellon University
45,noah-a-smith,cmu.edu,W11-2165,W11-21,2,WS,2011,workshop,Carnegie Mellon University
45,noah-a-smith,cmu.edu,W11-2202,W11-22,5,WS,2011,workshop,Carnegie Mellon University
45,noah-a-smith,cmu.edu,W11-2208,W11-22,4,WS,2011,workshop,Carnegie Mellon University
45,noah-a-smith,cmu.edu,W12-3203,W12-32,3,WS,2012,workshop,Carnegie Mellon University
45,noah-a-smith,cmu.edu,W12-4410,W12-44,3,WS,2012,workshop,Carnegie Mellon University
45,noah-a-smith,washington.edu,W16-5807,W16-58,4,WS,2016,workshop,University of Washington
45,noah-a-smith,washington.edu,W16-6212,W16-62,5,WS,2016,workshop,University of Washington
45,noah-a-smith,washington.edu,W18-1206,W18-12,3,WS,2018,workshop,University of Washington
45,noah-a-smith,washington.edu,W18-3024,W18-30,5,WS,2018,workshop,University of Washington
46,derya-ozkan,usc.edu,C10-1097,C10-1,3,COLING,2010,conference,University of Southern California
46,derya-ozkan,usc.edu,P11-2058,P11-2,2,ACL,2011,conference,University of Southern California
47,kenji-sagae,usc.edu,C10-1097,C10-1,3,COLING,2010,conference,University of Southern California
47,kenji-sagae,usc.edu,C14-1203,C14-1,2,COLING,2014,conference,University of Southern California
47,kenji-sagae,usc.edu,I11-1150,I11-1,3,IJCNLP,2011,conference,University of Southern California
47,kenji-sagae,usc.edu,P10-1110,P10-1,2,ACL,2010,conference,University of Southern California
47,kenji-sagae,usc.edu,P11-2017,P11-2,2,ACL,2011,conference,University of Southern California
47,kenji-sagae,usc.edu,Q16-1014,Q16-1,2,TACL,2016,journal,University of Southern California
47,kenji-sagae,ucdavis.edu,S19-2017,S19-2,2,SEMEVAL,2019,workshop,"University of California, Davis"
47,kenji-sagae,usc.edu,W10-0906,W10-09,3,WS,2010,workshop,University of Southern California
47,kenji-sagae,usc.edu,W10-2606,W10-26,1,WS,2010,workshop,University of Southern California
47,kenji-sagae,usc.edu,W11-2006,W11-20,3,WS,2011,workshop,University of Southern California
47,kenji-sagae,usc.edu,W13-4064,W13-40,9,WS,2013,workshop,University of Southern California
47,kenji-sagae,usc.edu,W14-4309,W14-43,3,WS,2014,workshop,University of Southern California
47,kenji-sagae,usc.edu,W14-5908,W14-59,5,WS,2014,workshop,University of Southern California
47,kenji-sagae,usc.edu,W15-1513,W15-15,4,WS,2015,workshop,University of Southern California
48,louis-philippe-morency,usc.edu,C10-1097,C10-1,3,COLING,2010,conference,University of Southern California
48,louis-philippe-morency,cmu.edu,D16-1185,D16-1,3,EMNLP,2016,conference,Carnegie Mellon University
48,louis-philippe-morency,cmu.edu,D17-1115,D17-1,5,EMNLP,2017,conference,Carnegie Mellon University
48,louis-philippe-morency,cmu.edu,D18-1014,D18-1,4,EMNLP,2018,conference,Carnegie Mellon University
48,louis-philippe-morency,cmu.edu,D19-1211,D19-1,7,EMNLP,2019,conference,Carnegie Mellon University
48,louis-philippe-morency,cmu.edu,D19-1443,D19-1,5,EMNLP,2019,conference,Carnegie Mellon University
48,louis-philippe-morency,cmu.edu,N18-1193,N18-1,6,NAACL,2018,conference,Carnegie Mellon University
48,louis-philippe-morency,cmu.edu,N18-2123,N18-2,3,NAACL,2018,conference,Carnegie Mellon University
48,louis-philippe-morency,cmu.edu,N19-1267,N19-1,5,NAACL,2019,conference,Carnegie Mellon University
48,louis-philippe-morency,usc.edu,P11-2058,P11-2,2,ACL,2011,conference,University of Southern California
48,louis-philippe-morency,usc.edu,P13-1096,P13-1,3,ACL,2013,conference,University of Southern California
48,louis-philippe-morency,cmu.edu,P17-1059,P17-1,5,ACL,2017,conference,Carnegie Mellon University
48,louis-philippe-morency,cmu.edu,P17-1081,P17-1,6,ACL,2017,conference,Carnegie Mellon University
48,louis-philippe-morency,cmu.edu,P17-1142,P17-1,4,ACL,2017,conference,Carnegie Mellon University
48,louis-philippe-morency,cmu.edu,P18-1208,P18-1,5,ACL,2018,conference,Carnegie Mellon University
48,louis-philippe-morency,cmu.edu,P18-1209,P18-1,6,ACL,2018,conference,Carnegie Mellon University
48,louis-philippe-morency,cmu.edu,P19-1152,P19-1,6,ACL,2019,conference,Carnegie Mellon University
48,louis-philippe-morency,cmu.edu,P19-1656,P19-1,6,ACL,2019,conference,Carnegie Mellon University
48,louis-philippe-morency,usc.edu,W12-1616,W12-16,2,WS,2012,workshop,University of Southern California
48,louis-philippe-morency,usc.edu,W14-5908,W14-59,5,WS,2014,workshop,University of Southern California
49,jeff-pasternack,illinois.edu,C10-1099,C10-1,2,COLING,2010,conference,University of Illinois at Urbana-Champaign
50,emily-pitler,upenn.edu,C10-1100,C10-1,4,COLING,2010,conference,University of Pennsylvania
50,emily-pitler,upenn.edu,D12-1044,D12-1,3,EMNLP,2012,conference,University of Pennsylvania
50,emily-pitler,upenn.edu,P10-1056,P10-1,3,ACL,2010,conference,University of Pennsylvania
50,emily-pitler,upenn.edu,P10-1089,P10-1,3,ACL,2010,conference,University of Pennsylvania
50,emily-pitler,upenn.edu,P12-1081,P12-1,1,ACL,2012,conference,University of Pennsylvania
50,emily-pitler,upenn.edu,Q13-1002,Q13-1,3,TACL,2013,journal,University of Pennsylvania
51,kenneth-church,jhu.edu,C10-1100,C10-1,4,COLING,2010,conference,Johns Hopkins University
51,kenneth-church,jhu.edu,D10-1045,D10-1,4,EMNLP,2010,conference,Johns Hopkins University
51,kenneth-church,jhu.edu,D11-1103,D11-1,3,EMNLP,2011,conference,Johns Hopkins University
51,kenneth-church,jhu.edu,P11-1135,P11-1,3,ACL,2011,conference,Johns Hopkins University
51,kenneth-church,jhu.edu,W11-0823,W11-08,1,WS,2011,workshop,Johns Hopkins University
52,vahed-qazvinian,umich.edu,C10-1101,C10-1,3,COLING,2010,conference,University of Michigan
52,vahed-qazvinian,umich.edu,D10-1121,D10-1,3,EMNLP,2010,conference,University of Michigan
52,vahed-qazvinian,umich.edu,D11-1147,D11-1,4,EMNLP,2011,conference,University of Michigan
52,vahed-qazvinian,umich.edu,N12-1077,N12-1,2,NAACL,2012,conference,University of Michigan
52,vahed-qazvinian,umich.edu,P10-1057,P10-1,2,ACL,2010,conference,University of Michigan
52,vahed-qazvinian,umich.edu,P11-1110,P11-1,2,ACL,2011,conference,University of Michigan
53,dragomir-radev,umich.edu,C10-1101,C10-1,3,COLING,2010,conference,University of Michigan
53,dragomir-radev,umich.edu,D10-1121,D10-1,3,EMNLP,2010,conference,University of Michigan
53,dragomir-radev,umich.edu,D11-1147,D11-1,4,EMNLP,2011,conference,University of Michigan
53,dragomir-radev,umich.edu,D12-1006,D12-1,3,EMNLP,2012,conference,University of Michigan
53,dragomir-radev,umich.edu,D16-1006,D16-1,3,EMNLP,2016,conference,University of Michigan
53,dragomir-radev,yale.edu,D18-1193,D18-1,7,EMNLP,2018,conference,Yale University
53,dragomir-radev,yale.edu,D18-1425,D18-1,12,EMNLP,2018,conference,Yale University
53,dragomir-radev,yale.edu,D19-1204,D19-1,24,EMNLP,2019,conference,Yale University
53,dragomir-radev,yale.edu,D19-1537,D19-1,10,EMNLP,2019,conference,Yale University
53,dragomir-radev,yale.edu,K17-1045,K17-1,6,CoNLL,2017,conference,Yale University
53,dragomir-radev,umich.edu,N12-1009,N12-1,2,NAACL,2012,conference,University of Michigan
53,dragomir-radev,umich.edu,N13-1067,N13-1,3,NAACL,2013,conference,University of Michigan
53,dragomir-radev,umich.edu,N16-1008,N16-1,4,NAACL,2016,conference,University of Michigan
53,dragomir-radev,umich.edu,N16-1177,N16-1,3,NAACL,2016,conference,University of Michigan
53,dragomir-radev,yale.edu,N18-1089,N18-1,3,NAACL,2018,conference,Yale University
53,dragomir-radev,yale.edu,N18-2093,N18-2,5,NAACL,2018,conference,Yale University
53,dragomir-radev,yale.edu,N19-1075,N19-1,5,NAACL,2019,conference,Yale University
53,dragomir-radev,umich.edu,P10-1041,P10-1,2,ACL,2010,conference,University of Michigan
53,dragomir-radev,umich.edu,P10-1057,P10-1,2,ACL,2010,conference,University of Michigan
53,dragomir-radev,umich.edu,P11-1051,P11-1,2,ACL,2011,conference,University of Michigan
53,dragomir-radev,umich.edu,P11-1110,P11-1,2,ACL,2011,conference,University of Michigan
53,dragomir-radev,umich.edu,P11-2104,P11-2,4,ACL,2011,conference,University of Michigan
53,dragomir-radev,umich.edu,P11-4021,P11-4,2,ACL,2011,demonstration,University of Michigan
53,dragomir-radev,umich.edu,P12-1042,P12-1,4,ACL,2012,conference,University of Michigan
53,dragomir-radev,umich.edu,P12-3023,P12-3,2,ACL,2012,demonstration,University of Michigan
53,dragomir-radev,umich.edu,P13-2045,P13-2,4,ACL,2013,conference,University of Michigan
53,dragomir-radev,umich.edu,P13-2102,P13-2,3,ACL,2013,conference,University of Michigan
53,dragomir-radev,umich.edu,P13-2144,P13-2,4,ACL,2013,conference,University of Michigan
53,dragomir-radev,umich.edu,P15-1043,P15-1,5,ACL,2015,conference,University of Michigan
53,dragomir-radev,umich.edu,P16-1062,P16-1,5,ACL,2016,conference,University of Michigan
53,dragomir-radev,yale.edu,P18-1033,P18-1,7,ACL,2018,conference,Yale University
53,dragomir-radev,yale.edu,P18-1057,P18-1,8,ACL,2018,conference,Yale University
53,dragomir-radev,yale.edu,P18-2017,P18-2,5,ACL,2018,conference,Yale University
53,dragomir-radev,yale.edu,P19-1102,P19-1,5,ACL,2019,conference,Yale University
53,dragomir-radev,yale.edu,P19-1306,P19-1,8,ACL,2019,conference,Yale University
53,dragomir-radev,yale.edu,P19-1443,P19-1,19,ACL,2019,conference,Yale University
53,dragomir-radev,umich.edu,Q14-1001,Q14-1,3,TACL,2014,journal,University of Michigan
53,dragomir-radev,umich.edu,S12-1043,S12-1,2,SEMEVAL,2012,workshop,University of Michigan
53,dragomir-radev,umich.edu,W11-1107,W11-11,3,WS,2011,workshop,University of Michigan
53,dragomir-radev,umich.edu,W12-3201,W12-32,2,WS,2012,workshop,University of Michigan
53,dragomir-radev,umich.edu,W12-4102,W12-41,3,WS,2012,workshop,University of Michigan
53,dragomir-radev,umich.edu,W13-1710,W13-17,4,WS,2013,workshop,University of Michigan
53,dragomir-radev,umich.edu,W13-3403,W13-34,4,WS,2013,workshop,University of Michigan
53,dragomir-radev,umich.edu,W14-5317,W14-53,3,WS,2014,workshop,University of Michigan
54,arzucan-ozgur,umich.edu,C10-1101,C10-1,3,COLING,2010,conference,University of Michigan
55,altaf-rahman,utdallas.edu,C10-1105,C10-1,2,COLING,2010,conference,University of Texas Dallas
55,altaf-rahman,utdallas.edu,D11-1099,D11-1,2,EMNLP,2011,conference,University of Texas Dallas
55,altaf-rahman,utdallas.edu,D12-1071,D12-1,2,EMNLP,2012,conference,University of Texas Dallas
55,altaf-rahman,utdallas.edu,E12-1081,E12-1,2,EACL,2012,conference,University of Texas Dallas
55,altaf-rahman,utdallas.edu,I11-1052,I11-1,2,IJCNLP,2011,conference,University of Texas Dallas
55,altaf-rahman,utdallas.edu,N12-1090,N12-1,2,NAACL,2012,conference,University of Texas Dallas
55,altaf-rahman,utdallas.edu,P11-1082,P11-1,2,ACL,2011,conference,University of Texas Dallas
56,vincent-ng,utdallas.edu,C10-1105,C10-1,2,COLING,2010,conference,University of Texas Dallas
56,vincent-ng,utdallas.edu,C10-2042,C10-2,2,COLING,2010,conference,University of Texas Dallas
56,vincent-ng,utdallas.edu,C12-1033,C12-1,2,COLING,2012,conference,University of Texas Dallas
56,vincent-ng,utdallas.edu,C12-2019,C12-2,2,COLING,2012,conference,University of Texas Dallas
56,vincent-ng,utdallas.edu,C12-2045,C12-2,2,COLING,2012,conference,University of Texas Dallas
56,vincent-ng,utdallas.edu,C14-1159,C14-1,2,COLING,2014,conference,University of Texas Dallas
56,vincent-ng,utdallas.edu,C16-1308,C16-1,4,COLING,2016,conference,University of Texas Dallas
56,vincent-ng,utdallas.edu,D10-1023,D10-1,3,EMNLP,2010,conference,University of Texas Dallas
56,vincent-ng,utdallas.edu,D11-1099,D11-1,2,EMNLP,2011,conference,University of Texas Dallas
56,vincent-ng,utdallas.edu,D12-1071,D12-1,2,EMNLP,2012,conference,University of Texas Dallas
56,vincent-ng,utdallas.edu,D13-1135,D13-1,2,EMNLP,2013,conference,University of Texas Dallas
56,vincent-ng,utdallas.edu,D14-1083,D14-1,2,EMNLP,2014,conference,University of Texas Dallas
56,vincent-ng,utdallas.edu,D14-1084,D14-1,2,EMNLP,2014,conference,University of Texas Dallas
56,vincent-ng,utdallas.edu,D14-1090,D14-1,4,EMNLP,2014,conference,University of Texas Dallas
56,vincent-ng,utdallas.edu,D14-1119,D14-1,2,EMNLP,2014,conference,University of Texas Dallas
56,vincent-ng,utdallas.edu,D15-1087,D15-1,2,EMNLP,2015,conference,University of Texas Dallas
56,vincent-ng,utdallas.edu,E12-1081,E12-1,2,EACL,2012,conference,University of Texas Dallas
56,vincent-ng,utdallas.edu,I11-1052,I11-1,2,IJCNLP,2011,conference,University of Texas Dallas
56,vincent-ng,utdallas.edu,I13-1100,I13-1,2,IJCNLP,2013,conference,University of Texas Dallas
56,vincent-ng,utdallas.edu,I13-1191,I13-1,2,IJCNLP,2013,conference,University of Texas Dallas
56,vincent-ng,utdallas.edu,I13-1193,I13-1,2,IJCNLP,2013,conference,University of Texas Dallas
56,vincent-ng,utdallas.edu,I17-1060,I17-1,2,IJCNLP,2017,conference,University of Texas Dallas
56,vincent-ng,utdallas.edu,K15-1024,K15-1,4,CoNLL,2015,conference,University of Texas Dallas
56,vincent-ng,utdallas.edu,N12-1090,N12-1,2,NAACL,2012,conference,University of Texas Dallas
56,vincent-ng,utdallas.edu,N13-1112,N13-1,2,NAACL,2013,conference,University of Texas Dallas
56,vincent-ng,utdallas.edu,N15-1116,N15-1,2,NAACL,2015,conference,University of Texas Dallas
56,vincent-ng,utdallas.edu,N16-1164,N16-1,2,NAACL,2016,conference,University of Texas Dallas
56,vincent-ng,utdallas.edu,N19-1085,N19-1,4,NAACL,2019,conference,University of Texas Dallas
56,vincent-ng,utdallas.edu,P10-1142,P10-1,1,ACL,2010,conference,University of Texas Dallas
56,vincent-ng,utdallas.edu,P11-1082,P11-1,2,ACL,2011,conference,University of Texas Dallas
56,vincent-ng,utdallas.edu,P13-1026,P13-1,2,ACL,2013,conference,University of Texas Dallas
56,vincent-ng,utdallas.edu,P13-2142,P13-2,2,ACL,2013,conference,University of Texas Dallas
56,vincent-ng,utdallas.edu,P14-1119,P14-1,2,ACL,2014,conference,University of Texas Dallas
56,vincent-ng,utdallas.edu,P14-1144,P14-1,2,ACL,2014,conference,University of Texas Dallas
56,vincent-ng,utdallas.edu,P14-2006,P14-2,6,ACL,2014,conference,University of Texas Dallas
56,vincent-ng,utdallas.edu,P15-1053,P15-1,2,ACL,2015,conference,University of Texas Dallas
56,vincent-ng,utdallas.edu,P15-2049,P15-2,2,ACL,2015,conference,University of Texas Dallas
56,vincent-ng,utdallas.edu,P15-2053,P15-2,2,ACL,2015,conference,University of Texas Dallas
56,vincent-ng,utdallas.edu,P16-1074,P16-1,2,ACL,2016,conference,University of Texas Dallas
56,vincent-ng,utdallas.edu,P16-1205,P16-1,2,ACL,2016,conference,University of Texas Dallas
56,vincent-ng,utdallas.edu,P17-1009,P17-1,2,ACL,2017,conference,University of Texas Dallas
56,vincent-ng,utdallas.edu,P18-1058,P18-1,4,ACL,2018,conference,University of Texas Dallas
56,vincent-ng,utdallas.edu,P18-1065,P18-1,2,ACL,2018,conference,University of Texas Dallas
56,vincent-ng,utdallas.edu,P19-1390,P19-1,4,ACL,2019,conference,University of Texas Dallas
56,vincent-ng,utdallas.edu,S15-2146,S15-2,2,SEMEVAL,2015,workshop,University of Texas Dallas
56,vincent-ng,utdallas.edu,W12-4504,W12-45,2,WS,2012,workshop,University of Texas Dallas
56,vincent-ng,utdallas.edu,W13-1720,W13-17,4,WS,2013,workshop,University of Texas Dallas
56,vincent-ng,utdallas.edu,W13-3514,W13-35,2,CoNLL,2013,conference,University of Texas Dallas
57,sujith-ravi,isi.edu,C10-1106,C10-1,4,COLING,2010,conference,Information Sciences Institute
57,sujith-ravi,isi.edu,I11-1022,I11-1,5,IJCNLP,2011,conference,Information Sciences Institute
57,sujith-ravi,isi.edu,J10-3001,J10-3,2,CL,2010,journal,Information Sciences Institute
57,sujith-ravi,isi.edu,N10-1068,N10-1,5,NAACL,2010,conference,Information Sciences Institute
57,sujith-ravi,isi.edu,P10-1051,P10-1,3,ACL,2010,conference,Information Sciences Institute
57,sujith-ravi,isi.edu,P11-1002,P11-1,2,ACL,2011,conference,Information Sciences Institute
57,sujith-ravi,isi.edu,P11-1025,P11-1,2,ACL,2011,conference,Information Sciences Institute
57,sujith-ravi,isi.edu,W11-2213,W11-22,2,WS,2011,workshop,Information Sciences Institute
58,ashish-vaswani,isi.edu,C10-1106,C10-1,4,COLING,2010,conference,Information Sciences Institute
58,ashish-vaswani,isi.edu,D13-1140,D13-1,4,EMNLP,2013,conference,Information Sciences Institute
58,ashish-vaswani,usc.edu,D14-1030,D14-1,4,EMNLP,2014,conference,University of Southern California
58,ashish-vaswani,isi.edu,D14-1061,D14-1,3,EMNLP,2014,conference,Information Sciences Institute
58,ashish-vaswani,isi.edu,N13-1132,N13-1,4,NAACL,2013,conference,Information Sciences Institute
58,ashish-vaswani,isi.edu,N15-1063,N15-1,3,NAACL,2015,conference,Information Sciences Institute
58,ashish-vaswani,usc.edu,N16-1027,N16-1,4,NAACL,2016,conference,University of Southern California
58,ashish-vaswani,isi.edu,N16-1029,N16-1,7,NAACL,2016,conference,Information Sciences Institute
58,ashish-vaswani,isi.edu,N16-1145,N16-1,4,NAACL,2016,conference,Information Sciences Institute
58,ashish-vaswani,isi.edu,P10-2039,P10-2,3,ACL,2010,conference,Information Sciences Institute
58,ashish-vaswani,isi.edu,P11-1086,P11-1,4,ACL,2011,conference,Information Sciences Institute
58,ashish-vaswani,isi.edu,P11-2056,P11-2,5,ACL,2011,conference,Information Sciences Institute
58,ashish-vaswani,isi.edu,P12-1033,P12-1,3,ACL,2012,conference,Information Sciences Institute
58,ashish-vaswani,isi.edu,P15-1081,P15-1,4,ACL,2015,conference,Information Sciences Institute
58,ashish-vaswani,usc.edu,Q16-1014,Q16-1,2,TACL,2016,journal,University of Southern California
59,kevin-knight,isi.edu,C10-1106,C10-1,4,COLING,2010,conference,Information Sciences Institute
59,kevin-knight,isi.edu,C18-1313,C18-1,6,COLING,2018,conference,Information Sciences Institute
59,kevin-knight,isi.edu,D10-1051,D10-1,3,EMNLP,2010,conference,Information Sciences Institute
59,kevin-knight,isi.edu,D12-1025,D12-1,2,EMNLP,2012,conference,Information Sciences Institute
59,kevin-knight,isi.edu,D13-1173,D13-1,2,EMNLP,2013,conference,Information Sciences Institute
59,kevin-knight,isi.edu,D14-1030,D14-1,4,EMNLP,2014,conference,Information Sciences Institute
59,kevin-knight,isi.edu,D14-1048,D14-1,4,EMNLP,2014,conference,Information Sciences Institute
59,kevin-knight,isi.edu,D14-1061,D14-1,3,EMNLP,2014,conference,Information Sciences Institute
59,kevin-knight,isi.edu,D14-1185,D14-1,2,EMNLP,2014,conference,Information Sciences Institute
59,kevin-knight,isi.edu,D15-1105,D15-1,3,EMNLP,2015,conference,Information Sciences Institute
59,kevin-knight,isi.edu,D15-1136,D15-1,5,EMNLP,2015,conference,Information Sciences Institute
59,kevin-knight,isi.edu,D16-1126,D16-1,4,EMNLP,2016,conference,Information Sciences Institute
59,kevin-knight,isi.edu,D16-1159,D16-1,3,EMNLP,2016,conference,Information Sciences Institute
59,kevin-knight,isi.edu,D16-1163,D16-1,4,EMNLP,2016,conference,Information Sciences Institute
59,kevin-knight,isi.edu,D16-1248,D16-1,3,EMNLP,2016,conference,Information Sciences Institute
59,kevin-knight,isi.edu,D17-1266,D17-1,2,EMNLP,2017,conference,Information Sciences Institute
59,kevin-knight,isi.edu,D18-1023,D18-1,5,EMNLP,2018,conference,Information Sciences Institute
59,kevin-knight,isi.edu,I17-1037,I17-1,7,IJCNLP,2017,conference,Information Sciences Institute
59,kevin-knight,isi.edu,N10-1014,N10-1,4,NAACL,2010,conference,Information Sciences Institute
59,kevin-knight,isi.edu,N15-1021,N15-1,2,NAACL,2015,conference,Information Sciences Institute
59,kevin-knight,isi.edu,N15-1119,N15-1,5,NAACL,2015,conference,Information Sciences Institute
59,kevin-knight,isi.edu,N15-1180,N15-1,2,NAACL,2015,conference,Information Sciences Institute
59,kevin-knight,isi.edu,N16-1004,N16-1,2,NAACL,2016,conference,Information Sciences Institute
59,kevin-knight,isi.edu,N16-1029,N16-1,7,NAACL,2016,conference,Information Sciences Institute
59,kevin-knight,isi.edu,N16-1145,N16-1,4,NAACL,2016,conference,Information Sciences Institute
59,kevin-knight,isi.edu,N18-1205,N18-1,5,NAACL,2018,conference,Information Sciences Institute
59,kevin-knight,isi.edu,N18-2011,N18-2,3,NAACL,2018,conference,Information Sciences Institute
59,kevin-knight,isi.edu,N18-2083,N18-2,3,NAACL,2018,conference,Information Sciences Institute
59,kevin-knight,isi.edu,N18-5009,N18-5,7,NAACL,2018,demonstration,Information Sciences Institute
59,kevin-knight,isi.edu,P10-1051,P10-1,3,ACL,2010,conference,Information Sciences Institute
59,kevin-knight,isi.edu,P10-1107,P10-1,3,ACL,2010,conference,Information Sciences Institute
59,kevin-knight,isi.edu,P10-1108,P10-1,3,ACL,2010,conference,Information Sciences Institute
59,kevin-knight,isi.edu,P11-1002,P11-1,2,ACL,2011,conference,Information Sciences Institute
59,kevin-knight,isi.edu,P11-1025,P11-1,2,ACL,2011,conference,Information Sciences Institute
59,kevin-knight,isi.edu,P11-2014,P11-2,2,ACL,2011,conference,Information Sciences Institute
59,kevin-knight,isi.edu,P12-2016,P12-2,2,ACL,2012,conference,Information Sciences Institute
59,kevin-knight,isi.edu,P13-2131,P13-2,2,ACL,2013,conference,Information Sciences Institute
59,kevin-knight,isi.edu,P14-2046,P14-2,3,ACL,2014,conference,Information Sciences Institute
59,kevin-knight,isi.edu,P14-2115,P14-2,9,ACL,2014,conference,Information Sciences Institute
59,kevin-knight,illinois.edu,P15-1057,P15-1,11,ACL,2015,conference,University of Illinois at Urbana-Champaign
59,kevin-knight,isi.edu,P15-1081,P15-1,4,ACL,2015,conference,Information Sciences Institute
59,kevin-knight,isi.edu,P16-1006,P16-1,6,ACL,2016,conference,Information Sciences Institute
59,kevin-knight,isi.edu,P16-1038,P16-1,2,ACL,2016,conference,Information Sciences Institute
59,kevin-knight,isi.edu,P17-1178,P17-1,6,ACL,2017,conference,Information Sciences Institute
59,kevin-knight,isi.edu,P17-2091,P17-2,2,ACL,2017,conference,Information Sciences Institute
59,kevin-knight,isi.edu,P17-4008,P17-4,4,ACL,2017,demonstration,Information Sciences Institute
59,kevin-knight,isi.edu,P18-1213,P18-1,5,ACL,2018,conference,Information Sciences Institute
59,kevin-knight,isi.edu,P18-2042,P18-2,7,ACL,2018,conference,Information Sciences Institute
59,kevin-knight,isi.edu,P18-4003,P18-4,3,ACL,2018,demonstration,Information Sciences Institute
59,kevin-knight,isi.edu,P18-4011,P18-4,4,ACL,2018,demonstration,Information Sciences Institute
59,kevin-knight,isi.edu,W10-2502,W10-25,3,WS,2010,workshop,Information Sciences Institute
59,kevin-knight,isi.edu,W11-1202,W11-12,3,WS,2011,workshop,Information Sciences Institute
59,kevin-knight,isi.edu,W11-1511,W11-15,2,WS,2011,workshop,Information Sciences Institute
59,kevin-knight,isi.edu,W12-4209,W12-42,2,WS,2012,workshop,Information Sciences Institute
59,kevin-knight,isi.edu,W12-6207,W12-62,2,WS,2012,workshop,Information Sciences Institute
59,kevin-knight,isi.edu,W13-2322,W13-23,10,WS,2013,workshop,Information Sciences Institute
59,kevin-knight,isi.edu,W16-2701,W16-27,5,WS,2016,workshop,Information Sciences Institute
59,kevin-knight,isi.edu,W16-5603,W16-56,2,WS,2016,workshop,Information Sciences Institute
59,kevin-knight,isi.edu,W16-5907,W16-59,5,WS,2016,workshop,Information Sciences Institute
59,kevin-knight,isi.edu,W16-6603,W16-66,3,WS,2016,workshop,Information Sciences Institute
59,kevin-knight,isi.edu,W17-2315,W17-23,4,WS,2017,workshop,Information Sciences Institute
59,kevin-knight,isi.edu,W18-1505,W18-15,4,WS,2018,workshop,Information Sciences Institute
59,kevin-knight,isi.edu,W18-4203,W18-42,2,WS,2018,workshop,Information Sciences Institute
59,kevin-knight,isi.edu,W18-6502,W18-65,7,WS,2018,workshop,Information Sciences Institute
60,david-chiang,isi.edu,C10-1106,C10-1,4,COLING,2010,conference,Information Sciences Institute
60,david-chiang,isi.edu,C12-2013,C12-2,2,COLING,2012,conference,Information Sciences Institute
60,david-chiang,isi.edu,D13-1140,D13-1,4,EMNLP,2013,conference,Information Sciences Institute
60,david-chiang,nd.edu,D14-1197,D14-1,2,EMNLP,2014,conference,University of Notre Dame
60,david-chiang,nd.edu,D15-1107,D15-1,2,EMNLP,2015,conference,University of Notre Dame
60,david-chiang,nd.edu,D15-1126,D15-1,2,EMNLP,2015,conference,University of Notre Dame
60,david-chiang,nd.edu,D16-1133,D16-1,3,EMNLP,2016,conference,University of Notre Dame
60,david-chiang,nd.edu,D19-5625,D19-56,5,EMNLP,2019,workshop,University of Notre Dame
60,david-chiang,nd.edu,D19-5634,D19-56,3,EMNLP,2019,workshop,University of Notre Dame
60,david-chiang,nd.edu,E17-1098,E17-1,2,EACL,2017,conference,University of Notre Dame
60,david-chiang,nd.edu,I17-2050,I17-2,2,IJCNLP,2017,conference,University of Notre Dame
60,david-chiang,nd.edu,J18-1005,J18-1,5,CL,2018,journal,University of Notre Dame
60,david-chiang,nd.edu,K17-1011,K17-1,5,CoNLL,2017,conference,University of Notre Dame
60,david-chiang,isi.edu,N10-1014,N10-1,4,NAACL,2010,conference,Information Sciences Institute
60,david-chiang,nd.edu,N15-1063,N15-1,3,NAACL,2015,conference,University of Notre Dame
60,david-chiang,nd.edu,N15-1129,N15-1,2,NAACL,2015,conference,University of Notre Dame
60,david-chiang,nd.edu,N18-1008,N18-1,2,NAACL,2018,conference,University of Notre Dame
60,david-chiang,nd.edu,N18-1031,N18-1,2,NAACL,2018,conference,University of Notre Dame
60,david-chiang,nd.edu,N18-1116,N18-1,5,NAACL,2018,conference,University of Notre Dame
60,david-chiang,nd.edu,N19-1311,N19-1,4,NAACL,2019,conference,University of Notre Dame
60,david-chiang,isi.edu,P10-1146,P10-1,1,ACL,2010,conference,Information Sciences Institute
60,david-chiang,isi.edu,P10-2039,P10-2,3,ACL,2010,conference,Information Sciences Institute
60,david-chiang,isi.edu,P11-1086,P11-1,4,ACL,2011,conference,Information Sciences Institute
60,david-chiang,isi.edu,P11-2037,P11-2,3,ACL,2011,conference,Information Sciences Institute
60,david-chiang,isi.edu,P11-2056,P11-2,5,ACL,2011,conference,Information Sciences Institute
60,david-chiang,isi.edu,P11-2080,P11-2,3,ACL,2011,conference,Information Sciences Institute
60,david-chiang,isi.edu,P12-1033,P12-1,3,ACL,2012,conference,Information Sciences Institute
60,david-chiang,isi.edu,P12-2062,P12-2,2,ACL,2012,conference,Information Sciences Institute
60,david-chiang,isi.edu,P14-1072,P14-1,2,ACL,2014,conference,Information Sciences Institute
60,david-chiang,nd.edu,P17-1177,P17-1,4,ACL,2017,conference,University of Notre Dame
60,david-chiang,nd.edu,P18-1251,P18-1,2,ACL,2018,conference,University of Notre Dame
60,david-chiang,nd.edu,P19-1626,P19-1,2,ACL,2019,conference,University of Notre Dame
60,david-chiang,nd.edu,W17-0123,W17-01,2,WS,2017,workshop,University of Notre Dame
