California Community Colleges Chanellor's Office	cccco.edu	Sacramento	CA
City College of San Francisco	ccsf.edu	San Francisco	CA
Cerritos College	cerritos.edu	Norwalk	CA
Cerro Coso Community College	cerrocoso.edu	Ridgecrest	CA
Claremont Graduate University	cgu.edu	Claremont	CA
Chaffey College	chaffey.edu	Rancho Cucamonga	CA
Chapman University	chapman.edu	Orange	CA
California Institute of Integral Studies	ciis.edu	San Francisco	CA
Citrus College	citruscollege.edu	Glendora	CA
The Claremont Colleges	claremont.edu	Claremont	CA
Claremont McKenna College	cmc.edu	Claremont	CA
Copper Mountain College	cmccd.edu	(multiple locations)	CA
Cogswell Polytechnical College	cogswell.edu	Sunnyvale	CA
College of San Mateo	collegeofsanmateo.edu	San Mateo	CA
College of the Desert	collegeofthedesert.edu	Palm Desert	CA
El Camino College Compton Center	compton.edu	Compton	CA
Contra Costa College	contracosta.edu	San Pablo	CA
College of the Sequoias	cos.edu	Visalia	CA
Crafton Hills College	craftonhills.edu	Yucaipa	CA
California State University Bakersfield	csub.edu	Bakersfield	CA
California State University Channel Islands	csuci.edu	Camarillo	CA
California State University Dominguez Hills	csudh.edu	Carson	CA
California State University East Bay	csueastbay.edu	Hayward	CA
Fresno State	fresnostate.edu	Fresno	CA
California State University Long Beach	csulb.edu	Long Beach	CA
California State University Monterey Bay	csumb.edu	Seaside	CA
California State University Northridge	csun.edu	Northridge	CA
California State Polytechnic University Pomona	csupomona.edu	Pomona	CA
California State University Sacramento	csus.edu	Sacramento	CA
California State University San Bernardino	csusb.edu	San Bernardino	CA
California State University San Marcos	csusm.edu	San Marcos	CA
California State University Stanislaus	csustan.edu	Stanislaus	CA
Cuesta College	cuesta.edu	San Luis Obispo	CA
Cuyamaca College	cuyamaca.edu	El Cajon	CA
California Western School of Law San Diego	cwsl.edu	San Diego	CA
Cypress College	cypresscollege.edu	Cypress	CA
DeAnza College	deanza.edu	Cupertino	CA
San Joaquin Delta College	deltacollege.edu	Stockton	CA
Dominican University of California	dominican.edu	San Rafael	CA
Dominican School of Philosophy and Theology	dspt.edu	Berkeley	CA
Diablo Valley College	dvc.edu	Pleasant Hill	CA
East Los Angeles College	elac.edu	Monterey Park	CA
El Camino College	elcamino.edu	Torrance	CA
Ex'pression College	expression.edu	San Jose	CA
Foothill-De Anza Community College District	fhda.edu	Los Altos Hills	CA
Fashion Institute of Design & Merchandising	fidm.edu	San Francisco	CA
Fielding Graduate University	fielding.edu	Santa Barbara	CA
Foothill College	foothill.edu	Los Altos Hills	CA
Fresno Pacific University	fresno.edu	Fresno	CA
Fresno City College	fresnocitycollege.edu	Fresno	CA
Frederick Taylor University	ftu.edu	Moraga	CA
Fullerton College	fullcoll.edu	Fullerton	CA
Fuller Theological Seminary	fuller.edu	Pasadena	CA
California State University Fullerton	fullerton.edu	Fullerton	CA
Gavilan College	gavilan.edu	Gilroy	CA
Golden Gate Baptist Theological Seminary	ggbts.edu	Mill Valley	CA
Glendale Community College	glendale.edu	Glendale	CA
Gnomon School of Visual Effects	gnomon.edu	Hollywood	CA
Columbia College	gocolumbia.edu	Sonora	CA
Golden West College	goldenwestcollege.edu	Huntington Beach	CA
Grossmont College	grossmont.edu	El Cajon	CA
Allan Hancock College	hancockcollege.edu	Santa Maria	CA
Hartnell College	hartnell.edu	Salinas	CA
Henley-Putnam University	henley-putnam.edu	Santa Clara	CA
Harvey Mudd College	hmc.edu	Claremont	CA
Holy Names University	hnu.edu	Oakland	CA
Humboldt State University	humboldt.edu	Arcata	CA
Humphreys College	humphreys.edu	Stockton	CA
Imperial Valley College	imperial.edu	Imperial	CA
International Sports Sciences Association	issaonline.edu	Carpinteria	CA
International Technological University	itu.edu	San Jose	CA
Irvine Valley College	ivc.edu	Irvine	CA
William Jessup University	jessup.edu	Rocklin	CA
John F. Kennedy University	jfku.edu	Pleasant Hill	CA
Keck Graduate Institute	kgi.edu	Claremont	CA
Mount Saint Mary's College	la.edu	Los Angeles	CA
Los Angeles Community College District	laccd.edu	Los Angeles	CA
Los Angeles City College	lacitycollege.edu	Los Angeles	CA
Los Angeles Harbor College	lahc.edu	Wilmington	CA
