,datetime,IP,startYear,endYear,num_uni,num_author,CL,TACL,ACL_C,NAACL_C,EMNLP_C,CoNLL_C,EACL_C,COLING,IJCNLP,WKSPDEMO
55,2020-02-12 21:14:50.456276,91.236.103.52,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
56,2020-02-12 21:15:04.925064,91.236.103.52,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
57,2020-02-12 21:16:02.177513,91.236.103.52,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
58,2020-02-12 21:19:42.885934,93.170.72.11,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
59,2020-02-12 21:19:42.901442,93.170.72.11,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
60,2020-02-12 21:19:48.666039,91.236.103.52,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
61,2020-02-12 21:20:18.832899,91.236.103.52,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
62,2020-02-12 21:22:36.622664,176.97.190.75,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
63,2020-02-12 21:23:18.868702,93.170.72.11,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
64,2020-02-12 21:23:34.396197,176.97.190.75,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
65,2020-02-12 21:39:51.265871,80.240.37.70,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
66,2020-02-12 21:46:03.144206,74.101.142.41,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
67,2020-02-12 21:49:52.070725,185.35.129.5,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
68,2020-02-12 21:58:26.797810,185.35.129.5,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
69,2020-02-12 22:01:17.684297,185.35.129.5,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
70,2020-02-12 22:17:56.922008,176.97.190.16,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
71,2020-02-12 22:20:44.686902,176.97.190.16,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
72,2020-02-12 22:22:14.503429,176.97.190.16,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
73,2020-02-12 22:29:13.485273,88.81.211.2,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
74,2020-02-12 22:36:43.021683,88.81.211.2,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
75,2020-02-12 22:37:05.281896,88.81.211.2,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
76,2020-02-12 22:37:39.554855,91.194.245.220,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
77,2020-02-12 22:38:56.260096,91.194.245.220,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
